molecule;SMILES;InChIKey;InChI
22Na;[22Na];KEAYESYHFKHZAL-BJUDXGSMSA-N;InChI=1S/Na/i1-1
NaCl;[Na+].[Cl-] ;FAPWRFPIFSIZLT-UHFFFAOYSA-M;"InChI=1S/ClH.Na/h1H;/q;+1/p-1"
Na;[Na] ;KEAYESYHFKHZAL-UHFFFAOYSA-N;InChI=1S/Na
H2O;O;XLYOFNOQVPJJNP-UHFFFAOYSA-N;InChI=1S/H2O/h1H2
Na+;[Na+];FKNQFGJONOIPTF-UHFFFAOYSA-N;InChI=1S/Na/q+1
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
