molecule;SMILES;InChIKey;InChI
Ge;[Ge];GNPVGFCGXDBREM-UHFFFAOYSA-N;InChI=1S/Ge
Ga;[Ga];GYHNNYVSQQEPJS-UHFFFAOYSA-N;InChI=1S/Ga
Ge4+;[Ge+4];CULSIAXQVSZNSV-UHFFFAOYSA-N;InChI=1S/Ge/q+4
68Ge;[68Ge];GNPVGFCGXDBREM-FTXFMUIASA-N;InChI=1S/Ge/i1-5
Ga3+;[Ga+3] ;CKHJYUSOUQDYEN-UHFFFAOYSA-N;InChI=1S/Ga/q+3
GaCl3;Cl[Ga](Cl)Cl;UPWPDUACHOATKO-UHFFFAOYSA-K;"InChI=1S/3ClH.Ga/h3*1H;/q;;;+3/p-3"
GeCl4;Cl[Ge](Cl)(Cl)Cl;IEXRMSFAVATTJX-UHFFFAOYSA-N;InChI=1S/Cl4Ge/c1-5(2,3)4
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
