molecule;SMILES;InChIKey;InChI
Sc;[Sc];SIXSYDAISGFNSX-UHFFFAOYSA-N;InChI=1S/Sc
47Sc;[47Sc];SIXSYDAISGFNSX-NJFSPNSNSA-N;InChI=1S/Sc/i1+2
Sc(NO3)3;[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Sc+3];DFCYEXJMCFQPPA-UHFFFAOYSA-N;"InChI=1S/3NO3.Sc/c3*2-1(3)4;/q3*-1;+3"
HNO3;[N+](=O)(O)[O-];GRYLNZFGIOXLOG-UHFFFAOYSA-N;InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)
Mn;[Mn];PWHULOQIROXLJO-UHFFFAOYSA-N;InChI=1S/Mn
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
ScCl4;Cl[Sc](Cl)Cl;DVMZCYSFPFUKKE-UHFFFAOYSA-K;"InChI=1S/3ClH.Sc/h3*1H;/q;;;+3/p-3"
