molecule;SMILES;InChIKey;InChI
Gd;[Gd];UIWYJDYFSGRHKR-UHFFFAOYSA-N;InChI=1S/Gd
153Gd;[153Gd];UIWYJDYFSGRHKR-AHCXROLUSA-N;InChI=1S/Gd/i1-4
GdCl3;Cl[Gd](Cl)Cl;MEANOSLIBWSCIT-UHFFFAOYSA-K;"InChI=1S/3ClH.Gd/h3*1H;/q;;;+3/p-3"
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
