molecule;SMILES;InChIKey;InChI
Ce;[Ce];GWXLDORMOJMVQZ-UHFFFAOYSA-N;InChI=1S/Ce 
Ce-139;[139Ce];GWXLDORMOJMVQZ-BJUDXGSMSA-N;InChI=1S/Ce/i1-1
CeCl3;[Cl-].[Cl-].[Cl-].[Ce+3];VYLVYHXQOHJDJL-UHFFFAOYSA-K;"InChI=1S/Ce.3ClH/h;3*1H/q+3;;;/p-3"
CeCl2;[Cl-].[Cl-].[Ce];ANFLYVRDLFXAOY-UHFFFAOYSA-L;"InChI=1S/Ce.2ClH/h;2*1H/p-2 "
Ce3+;[Ce+3];XQTIWNLDFPPCIU-UHFFFAOYSA-N;InChI=1S/Ce/q+3
HCl;[Cl];VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
