molecule;SMILES;InChIKey;InChI
CdCl2;Cl[Cd]Cl;YKYOUMDCQGMQQO-UHFFFAOYSA-L;"InChI=1S/Cd.2ClH/h;2*1H/q+2;;/p-2"
CdCl;[Cl-].[Cl-].[Cd+2];YKYOUMDCQGMQQO-UHFFFAOYSA-L;"InChI=1S/Cd.2ClH/h;2*1H/q+2;;/p-2"
109CdCl2;[Cl-].[Cl-].[109Cd+2];YKYOUMDCQGMQQO-WQEMXFENSA-L;"InChI=1S/Cd.2ClH/h;2*1H/q+2;;/p-2/i1-3;;"
Cd(NO3)2;[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cd+2] ;XIEPJMXMMWZAAV-UHFFFAOYSA-N;"InChI=1S/Cd.2NO3/c;2*2-1(3)4/q+2;2*-1"
Cd2+;[Cd+2];WLZRMCYVCSSEQC-UHFFFAOYSA-N;InChI=1S/Cd/q+2
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
