molecule;SMILES;InChIKey;InChI
CoCl2;Cl[Co]Cl ;GVPFVAHMJGGAJG-UHFFFAOYSA-L;"InChI=1S/2ClH.Co/h2*1H;/q;;+2/p-2"
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
57CoCl2;[Cl-].[Cl-].[57Co+2];GVPFVAHMJGGAJG-HPBINRSPSA-L;"InChI=1S/2ClH.Co/h2*1H;/q;;+2/p-2/i;;1-2"
Co;[Co];GUTLYIVDDKVIGB-UHFFFAOYSA-N;InChI=1S/Co
57Co;[57Co];GUTLYIVDDKVIGB-YPZZEJLDSA-N;InChI=1S/Co/i1-2
Co-57;[57Co];GUTLYIVDDKVIGB-YPZZEJLDSA-N;InChI=1S/Co/i1-2
H2O;O;XLYOFNOQVPJJNP-UHFFFAOYSA-N;InChI=1S/H2O/h1H2
