molecule;SMILES;InChIKey;InChI
EuCl3;Cl[Eu](Cl)Cl;NNMXSTWQJRPBJZ-UHFFFAOYSA-K;"InChI=1S/3ClH.Eu/h3*1H;/q;;;+3/p-3"
EuCL3.6H2O;O.O.O.O.O.O.Cl[Eu](Cl)Cl;AWDWVTKHJOZOBQ-UHFFFAOYSA-K;"InChI=1S/3ClH.Eu.6H2O/h3*1H;;6*1H2/q;;;+3;;;;;;/p-3"
Eu2O3;[O-2].[O-2].[O-2].[Eu+3].[Eu+3];AEBZCFFCDTZXHP-UHFFFAOYSA-N;"InChI=1S/2Eu.3O/q2*+3;3*-2"
Eu;[Eu];OGPBJKLSAFTDLK-UHFFFAOYSA-N;InChI=1S/Eu
152Eu;[152Eu];OGPBJKLSAFTDLK-IGMARMGPSA-N;InChI=1S/Eu/i1+0
Eu+++;[Eu+3];LNBHUCHAFZUEGJ-UHFFFAOYSA-N;InChI=1S/Eu/q+3
Eu3+;[Eu+3];LNBHUCHAFZUEGJ-UHFFFAOYSA-N;InChI=1S/Eu/q+3
HNO3;[N+](=O)(O)[O-];GRYLNZFGIOXLOG-UHFFFAOYSA-N;InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
