molecule;SMILES;InChIKey;InChI
Ba;[Ba];DSAJWYNOEDNPEQ-UHFFFAOYSA-N;InChI=1S/Ba
BaCl2;[Cl-].[Cl-].[Ba+2];WDIHJSXYQDMJHN-UHFFFAOYSA-L;"InChI=1S/Ba.2ClH/h;2*1H/q+2;;/p-2"
Ba2+;[Cl-].[Cl-].[Ba+2];WDIHJSXYQDMJHN-UHFFFAOYSA-L;"InChI=1S/Ba.2ClH/h;2*1H/q+2;;/p-2"
BaCl2.2H2O;O.O.[Cl-].[Cl-].[Ba+2];PWHCIQQGOQTFAE-UHFFFAOYSA-L;"InChI=1S/Ba.2ClH.2H2O/h;2*1H;2*1H2/q+2;;;;/p-2"
HNO3;[N+](=O)(O)[O-];GRYLNZFGIOXLOG-UHFFFAOYSA-N;InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
