molecule;SMILES;InChIKey;InChI
Lu;[Lu];OHSVLFRHMCKCQY-UHFFFAOYSA-N;InChI=1S/Lu
Lu3+;[Lu+3];PSDMOPINLDTFSZ-UHFFFAOYSA-N;InChI=1S/Lu/q+3
177Lu;[177Lu];OHSVLFRHMCKCQY-NJFSPNSNSA-N;InChI=1S/Lu/i1+2
LuCl3;Cl[Lu](Cl)Cl;AEDROEGYZIARPU-UHFFFAOYSA-K;"InChI=1S/3ClH.Lu/h3*1H;/q;;;+3/p-3"
177LuCl3;[Cl-].[Cl-].[Cl-].[177Lu+3];AEDROEGYZIARPU-SUNKFXMWSA-K;"InChI=1S/3ClH.Lu/h3*1H;/q;;;+3/p-3/i;;;1+2"
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
