molecule;SMILES;InChIKey;InChI
TbCl3;Cl[Tb](Cl)Cl;GFISHBQNVWAVFU-UHFFFAOYSA-K;"InChI=1S/3ClH.Tb/h3*1H;/q;;;+3/p-3"
Tb;[Tb];GZCRRIHWUXGPOV-UHFFFAOYSA-N;InChI=1S/Tb
Tb-161;[161Zn];HCHKCACWOHOZIP-IGMARMGPSA-N;InChI=1S/Zn/i1+0
Tb3+;[Tb+3];HKCRVXUAKWXBLE-UHFFFAOYSA-N;InChI=1S/Tb/q+3
Gd3+;[Gd+3] ;RJOJUSXNYCILHH-UHFFFAOYSA-N;InChI=1S/Gd/q+3
Tb3;[Tb].[Tb].[Tb];AZANLJXEFWTFJM-UHFFFAOYSA-N;InChI=1S/3Tb
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
