molecule;SMILES;InChIKey;InChI
Mn;[Mn];PWHULOQIROXLJO-UHFFFAOYSA-N;InChI=1S/Mn
54Mn;[54Mn];PWHULOQIROXLJO-BJUDXGSMSA-N;InChI=1S/Mn/i1-1
Mn++;[Mn+2];WAEMQWOKJMHJLA-UHFFFAOYSA-N;InChI=1S/Mn/q+2
MnCl2;Cl[Mn]Cl;GLFNIEUTAYBVOC-UHFFFAOYSA-L;"InChI=1S/2ClH.Mn/h2*1H;/q;;+2/p-2"
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
MnSO4;[O-]S(=O)(=O)[O-].[Mn+2];SQQMAOCOWKFBNP-UHFFFAOYSA-L;"InChI=1S/Mn.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2"
