molecule;SMILES;InChIKey;InChI
Ac-225;[225Ac];QQINRWTZWGJFDB-YPZZEJLDSA-N;InChI=1S/Ac/i1-2
Ac;[Ac];QQINRWTZWGJFDB-UHFFFAOYSA-N;InChI=1S/Ac
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
